variable_alias,variable_name,color,subfolder,channel,low_alarm,high_alarm,timeframe (min),alarm_priority,changepoint,ffill_length,lower_bound,upper_bound
,,,#Modbus address (multiple sites),#useful channels,#lower bound,#upper bound,#duration out of bounds before notification,,,,,
BTUMeter_DeltaTemperature_F,Temp_PrimaryPlantDelta_BTU,chocolate2,,,,,,,,,,
BTUMeter_Energy,EnergyOut_PrimaryPlant_BTU,chocolate2,,,,,,,1,,0,20
BTUMeter_Flow,Flow_CityWater_atSkid,darkgreen,,,,,,,1,,0,20
BTUMeter_FlowTemperature_F,Temp_CityWater_atSkid,darkgreen,,,36,100,5,MED,1,,0,20
BTUMeter_RemoteTemperature_F,Temp_PrimaryStorageOutTop,red2,,,120,,5,MED,1,,0,20
BTUMeter_VolumeTotal,Vol_CityWater_Tot,,,,,,,,1,,0,20
Dent1_Energy,EnergyIn_CircPump,,,,,,,,1,,0,20
Dent1_Power,PowerIn_CircPump,darkseagreen1,,,,,,,1,,0,20
FM03_Flow,Flow_CityWater,blue4,,,,60,,,0,,0,20
FM03_Temperature,Temp_CityWater,blue4,,,,,,,0,,0,20
FM04_Flow,Flow_RecircReturn_MXV1,goldenrod,,,20,,5,LOW,0,,0,20
FM04_Temperature,Temp_RecircReturn_MXV1_FM,goldenrod,,,,,,,0,,0,20
FM05_Flow,Flow_RecircReturn_MXV2,mediumpurple4,,,20,,5,LOW,0,,0,20
FM05_Temperature,Temp_RecircReturn_MXV2_FM,mediumpurple4,,,,,,,0,,0,20
HotStorageWaterInMechRoom,Temp_HotStorageInMechRoom,deeppink,,,,,,,0,,0,20
MXV1_ErrorCode,,,,,,,,,,,,
MXV2_MixedOutletSetpoint_F,,,,,,,,,1,,0,20
MXV1_MixedOutletTemp_F,Temp_RecircSupply_MXV1,sienna3,,,110,125,5,HIGH,1,,0,20
MXV1_ValvePosition,ValvePosition_MXV1,goldenrod,,,,,,,1,,0,20
MXV1MixingValveHotInletTemp,Temp_HotInlet_MXV1,coral1,,,115,,5,LOW,1,,0,20
MXV1MixingValveRecircReturnTemp,Temp_RecircReturn_MXV1,sienna,,,,,,,0,,0,20
MXV2_ErrorCode,,,,,,,,,,,,
MXV1_MixedOutletSetpoint_F,,,,,,,,,,,,
MXV2_MixedOutletTemp_F,Temp_RecircSupply_MXV2,mediumorchid4,,,110,125,5,HIGH,,,0,20
MXV2_ValvePosition,ValvePosition_MXV2,mediumpurple4,,,,,,,,,0,20
MXV2MixingValveHotInletTemp,Temp_HotInlet_MXV2,hotpink4,,,115,,5,LOW,,,0,20
MXV2MixingValveRecircReturnTemp,Temp_RecircReturn_MXV2,orchid,,,,,,,,,0,20
name,,,,,,,,,,,,
PowerMeter_ControlPanel_Power,PowerIn_SkidControlPanel,grey,,,,,,,,,0,20
PowerMeter_ControlPanel_Energy,EnergyIn_SkidControlPanel,grey,,,,,,,,,0,20
PowerMeter_Lights_Energy,EnergyIn_SkidLights,lightyellow3,,,,,,,,,0,20
PowerMeter_Lights_Power,PowerIn_SkidLights,lightyellow3,,,,,,,,,0,20
PowerMeter_QAHV_Energy,EnergyIn_HPWH,forestgreen,,,,,,,,,0,20
PowerMeter_QAHV_Power,PowerIn_HPWH,forestgreen,,,,,,,,,0,20
PowerMeter_SkidPump_Energy,EnergyIn_SkidPump,yellow,,,,,,,,,0,20
PowerMeter_SkidPump_Power,PowerIn_SkidPump,yellow,,,,,,,,,0,20
PowerMeter_SwingTank1_Energy,EnergyIn_ERTank1,orangered,,,,,,,,,0,20
PowerMeter_SwingTank1_Power,PowerIn_ERTank1,orangered,,,,,,,,,0,20
PowerMeter_SwingTank2_Energy,EnergyIn_ERTank2,plum,,,,,,,,,0,20
PowerMeter_SwingTank2_Power,PowerIn_ERTank2,plum,,,,,,,,,0,20
PowerMeter_SwingTank5_Energy,EnergyIn_ERTank5,lightpink3,,,,,,,,,0,20
PowerMeter_SwingTank5_Power,PowerIn_ERTank5,lightpink3,,,,,,,,,0,20
PowerMeter_SwingTank6_Energy,EnergyIn_ERTank6,salmon,,,,,,,,,0,20
PowerMeter_SwingTank6_Power,PowerIn_ERTank6,salmon,,,,,,,,,0,20
ProconA1M_CondensingTemperature,Temp_HPWHCondensing,darkred,,,,,,,,,0,20
ProconA1M_EvaporatingTemperature,Temp_HPWHEvaporating,darkseagreen4,,,,,,,,,0,20
ProconA1M_ExternalWaterTemperature1_TH15_1,Temp1_ST2_high_TH15,tomato4,,,,,,,,,,
ProconA1M_ExternalWaterTemperature2_TH16_1,Temp5_ST2_low_TH16,tomato,,,,,,,,,,
ProconA1M_ExternalWaterTemperature2_TH16_1_Calc,,,,,,,,,,,,
ProconA1M_ExternalWaterTemperature3_TH17_1,Temp_PrimaryStorageOutBottom_TH17,tan1,,,36,,5min,LOW,,,,
ProconA1M_ExternalWaterTemperature6_TH17_2,,,,,,,,,,,,
ProconA1M_FaultCode,Code_QAHVFault,,,,,,,,,,,
ProconA1M_HeatPumpFrequency_Master,Frequency_QAHV,,,,,,,,,,,
ProconA1M_HeatPumpOnOffStatus_Master,Status_QAHV_HPOnOff,forestgreen,,,,,,,,,,
ProconA1M_OutdoorAirTemperature,OAT_HPWH,goldenrod1,,,,,,,,,,
ProconA1M_RCProhibit_ModeStatus,Status_QAHV_RCProhibitMode,,,,,,,,,,,
ProconA1M_RCProhibit_OnOffStatus,Status_QAHV_RCProhibitOnOff,,,,,,,,,,,
ProconA1M_RCProhibit_SetTempStatus,Status_QAHV_RCProhibitSetTemp,,,,,,,,,,,
ProconA1M_SettingWaterTempStatus,Temp_HPWH_Setpoint,greenyellow,,,,,,,,,,
ProconA1M_ThermoOffTemperatureStatus,Temp_ThermoOff_Setpoint,magenta,,,,,,,,,,
ProconA1M_ThreeWayValve1Status,Status_QAHV_3WayValve,,,,,,,,,,,
ProconA1M_WaterInletTemperature,Temp_HPWHInlet,bisque4,,,36,120,,,,,,
ProconA1M_WaterOutletTemperature,Temp_HPWHOutlet,darkmagenta,,,36,200,,,,,,
ProconA1M_WaterPump1OnOffStatus,Status_QAHVPump,,,,,,,,,,,
ProconA1M_WaterPump1PWMDuty,Duty_QAHVPump,,,,,,,,,,0,20
ProconA1M_CapacityofSupplyingElectricity,Capacity_QAHV,yellowgreen,,,,,,,,,,
SecLoopPump_HEXInletWaterTemp,Temp_SecLoopHexInlet,paleturquoise,,,36,,,,,,,
SecLoopPump_HexOutletWaterTemp,Temp_SecLoopHexOutlet,mediumvioletred,,,36,,5,MED,,,,
SecLoopPump_SecLoopWaterFlow,Flow_SecLoop,cadetblue1,,,,,,,,,,
SecLoopPump_SecWaterPumpPower,PowerIn_SecLoopPump,paleturquoise,,,,,,,,,,
SecLoopPump_WaterTempSetpoint,Temp_Pump_Setpoint,black,,,,,,,,,,
SecLoopPump_WaterTempSetPoint_F,Temp_SecLoopSetPt,slategray2,,,,,,,,,,
ST1_TE_04,Temp5_ST1_low,orangered,,,,,,,,,,
ST1_TE_05,Temp4_ST1,orangered1,,,,,,,,,,
ST1_TE_06,Temp3_ST1,orangered2,,,,,,,,,,
ST1_TE_07,Temp2_ST1,orangered3,,,,,,,,,,
ST1_TE_08,Temp1_ST1_high,orangered4,,,,,,,,,,
ST2_TE_11,Temp4_ST2,tomato1,,,,,,,,,,
ST2_TE_12,Temp3_ST2,tomato2,,,,,,,,,,
ST2_TE_13,Temp2_ST2,tomato3,,,,,,,,,,
ST3_TE_23,Temp5_ST3_low,indianred1,,,,,,,,,,
ST3_TE_24,Temp4_ST3,brown1,,,,,,,,,,
ST3_TE_25,Temp3_ST3,brown2,,,,,,,,,,
ST3_TE_26,Temp2_ST3,brown3,,,,,,,,,,
ST3_TE_27,Temp1_ST3_high,brown4,,,,,,,,,,
time_utc,time_utc,,,,,,,,,,,
time_pt,time_pt,,,,,,,,,,,
OutdoorAirTemperature,,,,,,,,,,,,
,OAT_NOAA,gold,,,,,,,,,,
,Dewpoint_NOAA,grey,,,,,,,,,,
,HeatOut_HPWH,,,,,,,,,,,
,HeatLoss_TempMaint_MXV1,goldenrod,,,,,,,,,,
,HeatLoss_TempMaint_MXV2,mediumpurple4,,,,,,,,,,
,HeatOut_SecLoop,cadetblue1,,,,,,,,,,
,HeatOut_PrimaryPlant,red2,,,,,,,,,,
,HeatOut_HW,deeppink,,,,,,,,,,
,COP_PrimaryPlant,darkseagreen4,,,,,,,,,,
,COP_PrimaryPlant_dyavg,yellowgreen,,,,,,,,,,
,COP_SecLoop,paleturquoise,,,,,,,,,,
,COP_DHWSys,tomato3,,,,,,,,,,
,COP_DHWSys_dyavg,tan4,,,,,,,,,,
,COP_DHWSys_fixTMloss,lightsalmon,,,,,,,,,,
,COP_PrimaryPlant_nopump,black,,,,,,,,,,
,PowerIn_SwingTank1,coral1,,,,,,,,,,
,PowerIn_SwingTank2,hotpink4,,,,,,,,,,
,Temp_RecircSupply_avg,grey32,,,,,,,,,,
,EnergyIn_SwingTank1,coral1,,,,,,,,,,
,EnergyIn_SwingTank2,hotpink4,,,,,,,,,,
,Temp3_ST2_TH16_calc,grey,,,,,,,,,,
,Temp5_ST2_low_TH17,lawngreen,,,,,,,,,,
,Temp3_ST2_TH16,gold,,,,,,,,,,
