time,BTUMeter_DeltaTemperature_F,BTUMeter_Energy,BTUMeter_Flow,BTUMeter_FlowTemperature_F,BTUMeter_RemoteTemperature_F,FM03_Flow,FM03_Temperature,FM04_Flow,FM04_Temperature,FM05_Flow,FM05_Temperature,HotStorageWaterInMechRoom,MXV1MixingValveHotInletTemp,MXV1MixingValveRecircReturnTemp,MXV1_ErrorCode,MXV1_MixedOutletSetpoint_F,MXV1_MixedOutletTemp_F,MXV1_ValvePosition,MXV2MixingValveHotInletTemp,MXV2MixingValveRecircReturnTemp,MXV2_ErrorCode,MXV2_MixedOutletSetpoint_F,MXV2_MixedOutletTemp_F,MXV2_ValvePosition,PowerMeter_QAHV_Energy,PowerMeter_QAHV_Power,PowerMeter_SkidAux_Energy,PowerMeter_SkidAux_Power,PowerMeter_SwingTank2_Energy,PowerMeter_SwingTank2_Power,ProconA1M_CapacityOfSupplyingElectricity,ProconA1M_CondensingTemperature,ProconA1M_EvaporatingTemperature,ProconA1M_ExternalWaterTemperature1_TH15_1,ProconA1M_ExternalWaterTemperature2_TH16_1,ProconA1M_ExternalWaterTemperature2_TH16_1_Calc,ProconA1M_ExternalWaterTemperature3_TH17_1,ProconA1M_ExternalWaterTemperature4_TH15_2,ProconA1M_ExternalWaterTemperature6_TH17_2,ProconA1M_HeatPumpFrequency_Master,ProconA1M_OutdoorAirTemperature,ProconA1M_RCProhibit_ModeStatus,ProconA1M_RCProhibit_SetTempStatus,ProconA1M_SettingWaterTempStatus,ProconA1M_ThermoOffTemperatureStatus,ProconA1M_WaterInletTemperature,ProconA1M_WaterOutletTemperature,ProconA1M_WaterPump1PWMDuty,ST1_TE_04,ST1_TE_05,ST1_TE_06,ST1_TE_07,ST1_TE_08,ST2_TE_11,ST2_TE_13,ST3_TE_23,ST3_TE_24,ST3_TE_25,ST3_TE_26,ST3_TE_27,SecLoopPump_HEXInletWaterTemp,SecLoopPump_HexOutletWaterTemp,SecLoopPump_SecLoopWaterFlow,SecLoopPump_SecWaterPumpPower
2022-10-13 17:01:00,79.1,53.7,5.2,65.4,144.4,5.3,64.6,12.8,130.8,12.7,120.1,140.8,91.1,129.9,,,130.0,,132.9,119.9,0.0,,120.0,,64231.6,12.0,536.8,0.1,4872.4,0.0,,202.0,,146.0,85.7,,69.0,,,,,,,,,79.0,154.0,30.0,68.5,107.6,128.5,140.4,143.7,102.4,144.2,68.0,96.0,122.9,144.3,148.5,66.5,144.8,2.6,7.0
2022-10-13 17:02:00,82.3,40.6,5.2,65.4,147.7,4.3,64.6,13.1,131.1,12.8,120.1,142.7,91.1,130.0,,,,,132.9,119.8,0.0,,,,64231.8,13.5,536.8,0.1,4872.4,0.0,,204.0,,146.0,85.4,107.0,,,,84.0,,,,,,84.0,157.0,29.0,68.4,107.7,128.6,140.4,143.7,101.8,144.0,67.7,95.4,122.1,143.9,148.4,66.4,145.7,2.6,7.0
2022-10-13 17:03:00,83.5,33.4,1.1,65.3,148.8,2.3,64.6,12.8,131.3,12.7,120.1,145.2,91.1,130.2,4.0,,,5.0,132.1,119.8,,,120.0,,64232.0,14.5,536.8,0.1,4872.4,0.0,,214.0,56.0,146.0,84.4,107.0,68.0,,,85.0,34.0,,,,,97.0,164.0,30.0,68.4,107.8,128.7,140.5,143.7,100.9,143.7,67.6,94.7,121.4,143.6,148.4,66.4,148.5,,
2022-10-13 17:04:00,84.8,32.7,2.6,65.3,150.0,2.6,64.7,13.3,131.6,12.8,120.0,146.8,91.1,130.5,4.0,,,5.0,131.8,119.8,,,120.0,,64232.2,9.6,536.8,0.1,4872.4,0.0,,216.0,62.0,146.0,84.1,,68.0,,,63.0,34.0,,,,0.0,110.0,163.0,32.0,68.6,107.9,128.7,140.5,143.7,100.2,143.4,67.4,94.3,120.8,143.2,148.4,66.3,153.1,,8.0
2022-10-13 17:05:00,86.1,43.2,3.5,65.3,151.3,4.0,64.7,12.9,131.6,12.5,120.1,147.4,91.1,130.5,,,131.0,5.0,131.8,119.7,,,,19.0,64232.4,10.1,536.8,0.1,4872.4,0.0,,211.0,69.0,146.0,83.8,105.0,,,,63.0,,,,,134.9,115.0,157.0,30.0,68.7,107.9,128.7,140.5,143.7,99.6,143.3,67.3,94.0,120.5,143.1,148.4,66.3,151.3,3.1,10.0
2022-10-13 17:06:00,87.8,56.9,4.4,65.3,153.1,4.3,64.6,13.3,131.6,12.5,119.9,148.7,91.1,130.5,,,130.0,,131.7,119.6,,,119.0,19.0,64232.6,10.0,536.8,0.1,4872.4,0.0,,214.0,68.0,,83.6,105.0,,,,,,,,,134.9,117.0,160.0,30.0,68.6,107.8,128.7,140.5,143.7,99.2,143.2,67.2,93.5,119.9,142.8,148.4,66.3,151.3,3.1,12.0
2022-10-13 17:07:00,87.2,37.1,3.1,65.3,152.5,3.0,64.6,12.9,131.6,13.0,120.1,151.2,91.1,130.6,,,130.0,,131.7,119.8,,,120.0,,64232.7,9.8,536.8,0.1,4872.4,0.0,,212.0,67.0,,83.2,,,,,,,,,,,113.0,159.0,,68.6,107.7,128.6,140.4,143.7,98.5,142.8,67.1,93.2,119.3,142.4,148.3,66.3,,3.5,12.0
2022-10-13 17:08:00,87.6,42.2,3.0,65.2,152.9,3.6,64.7,13.1,131.6,12.8,120.3,150.7,91.1,130.6,,,131.0,,132.0,119.9,,,121.0,,64232.9,9.6,536.8,0.1,4872.4,0.0,,210.0,65.0,,82.6,,67.0,3.0,,,,,,,,110.0,157.0,29.0,68.4,107.6,128.5,140.4,,98.2,142.8,67.0,92.8,119.1,142.3,148.3,66.2,,3.5,15.0
2022-10-13 17:09:00,88.4,47.7,4.1,65.3,153.6,3.8,64.6,13.0,131.7,12.8,120.5,150.4,91.1,130.6,,,131.0,,131.9,120.1,,,121.0,22.0,64233.0,9.3,536.8,0.1,4872.4,0.0,,207.0,63.0,,82.5,,67.0,3.0,,,,,,,,107.0,155.0,27.0,68.2,107.4,128.4,140.2,143.7,98.0,142.8,67.0,92.8,119.0,142.3,,66.2,150.4,,15.0
2022-10-13 17:10:00,87.1,28.7,2.4,65.3,152.5,2.8,64.7,13.4,131.7,13.0,120.3,151.6,91.0,130.6,,,131.0,,132.1,120.0,0.0,,121.0,19.0,64233.2,9.0,536.8,0.1,4872.4,0.0,,204.0,60.0,146.0,82.4,,,3.0,,,,,,,,103.0,153.0,26.0,68.1,107.2,128.3,140.2,143.6,97.8,142.6,67.0,92.5,118.7,142.1,,66.2,149.4,,14.0
2022-10-13 17:11:00,86.2,33.9,3.3,65.3,151.5,5.1,64.7,12.9,131.6,12.6,120.9,151.4,91.1,130.6,,,130.0,,132.8,120.5,0.0,,119.0,19.0,64233.4,10.1,536.8,0.1,4872.4,0.0,,202.0,57.0,146.0,82.4,,,3.0,,68.0,,,,,,102.0,153.0,25.0,68.0,106.9,128.1,140.2,143.6,97.7,142.5,66.9,92.6,118.7,142.1,148.2,66.2,148.5,3.1,11.0
2022-10-13 17:12:00,85.1,30.2,1.2,65.3,150.4,1.0,64.7,12.9,131.6,13.2,120.6,150.2,91.1,130.5,,,130.0,,133.3,120.3,0.0,,120.0,19.0,64233.5,10.6,536.8,0.1,4872.4,0.0,,205.0,55.0,,82.2,,,,,70.0,,,,,,101.0,157.0,25.0,67.9,106.7,128.0,140.2,143.5,97.5,142.4,66.9,92.3,118.4,142.0,148.2,66.1,148.5,3.1,8.0
2022-10-13 17:13:00,84.6,15.4,1.8,65.3,149.9,1.1,64.8,13.3,131.6,13.2,120.5,149.2,91.1,130.5,,,,,133.1,120.3,,,120.0,,64233.7,10.7,536.8,0.1,4872.4,0.0,,207.0,58.0,,82.2,,,,,70.0,,,,,,101.0,159.0,,67.9,106.5,127.9,140.1,143.5,97.3,142.4,66.8,92.1,118.2,141.9,148.2,66.1,149.4,2.6,7.0
2022-10-13 17:14:00,84.5,24.7,0.6000000000000001,65.3,149.8,1.7000000000000002,64.8,12.8,131.6,13.3,120.5,148.7,91.1,130.6,,,131.0,,133.3,120.1,,,,,64233.9,10.2,536.8,0.1,4872.4,0.0,,208.0,60.0,,82.2,,,,,67.0,,,,,,103.0,160.0,,67.8,106.1,127.6,140.0,143.4,97.4,142.4,66.8,92.2,118.3,142.0,,66.1,150.4,2.6,7.0
2022-10-13 17:15:00,86.0,45.7,3.1,65.3,151.3,2.5,64.8,13.1,131.7,12.8,120.3,148.2,91.1,130.6,,,131.0,,133.7,120.0,,,121.0,,64234.1,9.6,536.8,0.1,4872.4,0.0,,205.0,64.0,,82.2,,,,,63.0,,,,,,107.0,157.0,,67.8,105.9,127.5,139.9,143.4,97.3,142.4,66.8,92.5,118.6,142.1,,66.1,150.4,,
2022-10-13 17:16:00,86.5,29.7,3.5,65.4,151.9,0.5,64.7,13.1,131.7,13.0,120.1,148.0,91.1,130.6,,,,,134.0,119.8,,120.0,120.0,,64234.2,9.9,536.8,0.1,4872.4,0.0,,209.0,66.0,,82.1,,,,,63.0,,,,,,113.0,158.0,24.0,67.8,105.6,127.3,139.9,143.4,97.1,142.2,66.8,92.2,118.3,141.9,,66.0,150.4,,
2022-10-13 17:17:00,86.5,30.4,2.8,65.5,152.0,2.9,64.7,12.8,131.7,12.7,120.5,149.1,91.1,130.6,,,,,134.1,120.1,,120.0,120.0,16.0,64234.4,9.8,536.8,0.1,4872.4,0.0,20.0,211.0,66.0,146.0,81.9,,,,,,,,,,,115.0,160.0,24.0,67.8,105.5,127.3,139.8,143.4,96.9,142.1,66.8,92.0,118.1,141.8,,66.0,151.3,,
2022-10-13 17:18:00,86.6,43.5,4.5,65.4,152.1,4.3,64.7,13.1,131.6,13.2,120.5,149.8,91.1,130.6,,,,,134.0,120.2,,,121.0,16.0,64234.5,9.8,536.8,0.1,4872.4,0.0,20.0,212.0,65.0,146.0,81.8,,,,,,,,,,,115.0,161.0,,67.7,105.3,127.2,139.8,143.4,96.6,142.0,66.7,91.6,117.6,141.5,148.2,66.0,151.3,,8.0
2022-10-13 17:19:00,86.6,26.7,1.9,65.4,152.0,2.2,64.7,12.9,131.7,13.1,120.7,150.0,91.1,130.6,,,131.0,,133.6,120.3,,,120.0,,64234.7,9.8,536.9,0.1,4872.4,0.0,,33.0,63.0,,81.6,,,,,,,,,,,,161.0,,67.6,105.1,127.1,139.8,143.4,96.2,141.9,66.8,91.3,117.1,141.2,148.1,65.9,151.3,3.1,10.0
2022-10-13 17:20:00,87.9,26.4,2.8,65.4,153.2,2.9,64.8,12.8,131.7,13.1,120.6,149.9,91.1,130.6,,,131.0,,133.8,120.3,,,120.0,,64234.8,9.6,536.9,0.1,4872.4,0.0,,211.0,61.0,,81.6,,,,,,,,,,,114.0,160.0,,67.6,104.9,126.9,139.8,143.4,96.1,141.8,66.7,91.1,117.0,141.2,148.1,65.9,152.2,3.1,12.0
2022-10-13 17:21:00,88.7,32.4,1.0,65.4,154.0,1.8,64.8,13.2,131.9,13.0,120.5,149.9,91.2,130.7,,,,,134.2,120.3,,,,,64235.0,9.4,536.9,0.1,4872.4,0.0,,208.0,59.0,146.0,81.5,,,,,,,,,,,111.0,159.0,,67.6,104.6,126.8,139.7,143.3,96.0,141.8,66.6,91.1,117.0,141.1,,65.9,152.2,3.5,15.0
2022-10-13 17:22:00,88.8,51.3,4.5,65.4,154.2,2.0,64.7,13.0,131.9,13.2,120.4,151.0,91.1,130.7,,,,,134.4,120.1,,,,,64235.2,9.2,536.9,0.1,4872.4,0.0,,206.0,56.0,146.0,81.5,,,,,,,,,,,108.0,157.0,,67.6,104.3,126.6,139.6,143.3,95.9,141.8,66.6,91.1,117.0,141.1,,65.9,151.3,3.5,17.0
2022-10-13 17:23:00,88.0,39.7,2.0,65.4,153.4,2.8,64.6,13.0,132.0,12.9,120.3,152.2,91.1,130.8,4.0,,,,134.5,120.0,,,,,64235.3,9.3,536.9,0.1,4872.4,0.0,,205.0,53.0,,81.4,,,,,64.0,,,,,,104.0,154.0,23.0,67.5,104.3,126.6,139.6,143.3,95.8,141.6,66.6,90.8,116.6,140.9,148.1,65.9,149.4,,17.0
2022-10-13 17:24:00,86.8,22.9,1.6,65.4,152.2,1.2,64.7,13.1,132.1,13.3,120.2,152.1,91.1,131.0,4.0,,,,134.4,119.9,,120.0,,19.0,64235.5,11.8,536.9,0.1,4872.4,0.0,,204.0,49.0,,81.3,,,,,75.0,,,,,,100.0,155.0,22.0,67.5,104.2,126.5,139.6,143.3,95.6,141.5,66.5,90.6,116.4,140.8,148.1,65.8,148.5,,15.0
2022-10-13 17:25:00,85.6,27.6,2.1,65.4,151.0,2.2,64.9,13.3,132.3,12.8,120.2,151.5,91.1,131.1,,120.0,,5.0,134.2,119.9,,120.0,,19.0,64235.7,13.1,536.9,0.1,4872.4,0.0,,208.0,43.0,,81.3,,,,,80.0,,0.0,,,,96.0,164.0,22.0,67.4,104.0,126.4,139.5,143.2,95.7,141.6,66.4,90.8,116.7,140.9,148.1,65.8,150.4,,13.0
2022-10-13 17:26:00,85.2,44.8,3.4,65.3,150.5,3.7,64.8,13.2,132.2,12.5,120.2,150.4,91.1,131.1,,120.0,,5.0,133.6,119.8,,,,,64235.9,14.9,536.9,0.1,4872.4,0.0,,218.0,43.0,,81.3,,,,,86.0,,0.0,,,,95.0,171.0,23.0,67.5,103.8,126.3,139.5,143.2,95.6,141.5,66.5,91.0,116.9,141.0,148.1,65.8,153.1,,16.0
2022-10-13 17:27:00,86.7,18.2,1.7000000000000002,65.4,152.1,3.5,64.8,13.4,132.1,12.6,120.1,149.0,91.1,131.0,,120.0,,,132.7,119.8,,,,,64236.2,14.8,536.9,0.2,4872.4,0.0,,221.0,47.0,,81.3,,,,,86.0,,,,,,96.0,175.0,25.0,67.5,103.7,126.3,139.5,143.2,95.5,141.5,66.4,90.9,116.8,141.0,148.1,,156.8,4.4,26.0
2022-10-13 17:28:00,90.4,10.1,0.1,65.5,155.9,0.4,64.9,13.1,132.2,13.0,120.3,148.4,91.1,131.0,,,,,132.1,119.8,,,,,64236.4,15.0,536.9,0.2,4872.4,0.0,,224.0,50.0,,81.4,,,,,87.0,,,,,,94.0,175.0,26.0,67.5,103.7,126.3,139.5,143.2,95.7,141.6,66.4,91.3,117.2,141.2,148.1,65.8,156.8,5.3,47.0
2022-10-13 17:29:00,94.5,26.1,2.4,65.5,159.9,1.9,65.1,13.2,132.3,13.2,120.3,148.4,91.2,131.0,,,,,132.1,119.9,,,,,64236.7,14.3,536.9,0.2,4872.4,0.0,,222.0,53.0,,81.6,,,,,87.0,33.0,,,,,89.0,174.0,27.0,67.5,103.8,126.3,139.5,143.2,96.1,141.8,66.5,91.9,118.1,141.6,148.1,65.8,154.0,5.7,64.0
2022-10-13 17:30:00,92.1,32.5,3.7,65.5,157.6,3.5,64.9,12.9,132.1,13.1,120.1,149.8,91.2,131.0,,,,,132.9,119.8,,,120.0,,64236.9,13.5,536.9,0.2,4872.4,0.0,,218.0,54.0,,81.9,,,,,85.0,34.0,,,,,85.0,169.0,29.0,67.5,103.9,126.4,139.5,143.3,96.7,142.1,66.6,92.5,118.9,142.0,,65.8,147.6,5.7,64.0
2022-10-13 17:31:00,81.6,39.5,3.3,65.6,147.2,3.0,64.7,13.1,132.1,13.1,120.1,155.5,91.2,131.0,,,,,133.5,119.8,,,120.0,,64237.1,12.3,536.9,0.2,4872.4,0.0,,212.0,55.0,,82.1,,,,,84.0,34.0,,,,,80.0,163.0,30.0,67.6,104.4,126.6,139.6,143.3,97.2,142.2,66.6,92.8,119.0,142.1,148.1,65.8,144.8,4.8,46.0
2022-10-13 17:32:00,78.1,26.7,3.5,65.6,142.8,1.3,64.8,13.0,132.2,13.1,120.0,152.4,91.2,131.0,,,,,134.4,119.7,,,120.0,,64237.3,12.0,536.9,0.2,4872.4,0.0,,204.0,55.0,,82.3,,,,,80.0,,,,,,77.0,157.0,29.0,67.7,105.1,127.1,139.8,143.4,97.5,142.3,66.6,92.6,118.7,142.0,148.1,65.7,143.0,4.4,28.0
2022-10-13 17:33:00,77.3,34.1,3.1,65.5,142.7,3.0,64.8,13.1,132.3,13.0,119.9,146.0,91.2,131.2,,,,,134.5,119.6,,,119.0,,64237.6,12.0,536.9,0.1,4872.4,0.0,,202.0,,146.0,82.4,105.0,,,,80.0,,,,,,77.0,156.0,27.0,67.8,105.6,127.4,139.8,143.4,97.8,142.5,66.6,92.1,118.3,141.8,148.1,65.7,143.0,3.5,13.0
2022-10-13 17:34:00,78.4,31.6,3.2,65.4,143.8,2.9,64.7,13.0,132.4,12.8,120.0,142.4,91.1,131.2,,,,,134.5,119.6,,,119.0,,64237.7,11.9,536.9,0.1,4872.4,0.0,,201.0,54.0,146.0,82.4,105.0,,,,,,,,,,,156.0,27.0,68.1,106.1,127.6,139.9,143.4,97.8,142.4,66.5,91.8,117.8,141.5,148.1,65.7,144.8,2.6,7.0
