date,startTime,endTime,event
2/23/2022,5:00,6:00,loadUp
2/23/2022,6:00,9:00,shed
2/23/2022,17:00,18:00,loadUp
2/23/2022,18:00,21:00,shed
2/25/2022,5:00,6:00,loadUp
2/25/2022,6:00,9:00,shed
2/25/2022,17:00,18:00,loadUp
2/25/2022,18:00,21:00,shed
3/21/2022,5:00,6:00,loadUp
3/21/2022,6:00,9:00,shed
3/21/2022,17:00,18:00,loadUp
3/21/2022,18:00,21:00,shed
3/23/2022,5:00,6:00,loadUp
3/23/2022,6:00,9:00,shed
3/23/2022,17:00,18:00,loadUp
3/23/2022,18:00,21:00,shed
3/25/2022,5:00,6:00,loadUp
3/25/2022,6:00,9:00,shed
3/25/2022,17:00,18:00,loadUp
3/25/2022,18:00,21:00,shed
3/26/2022,5:00,6:00,loadUp
3/26/2022,6:00,9:00,shed
3/26/2022,17:00,18:00,loadUp
3/26/2022,18:00,21:00,shed
3/28/2022,5:00,6:00,loadUp
3/28/2022,6:00,9:00,shed
3/28/2022,17:00,18:00,loadUp
3/28/2022,18:00,21:00,shed
3/30/2022,5:00,6:00,loadUp
3/30/2022,6:00,9:00,shed
3/30/2022,17:00,18:00,loadUp
3/30/2022,18:00,21:00,shed
4/1/2022,5:00,6:00,loadUp
4/1/2022,6:00,9:00,shed
4/1/2022,17:00,18:00,loadUp
4/1/2022,18:00,21:00,shed
4/2/2022,5:00,6:00,loadUp
4/2/2022,6:00,9:00,shed
4/2/2022,17:00,18:00,loadUp
4/2/2022,18:00,21:00,shed
4/4/2022,5:00,6:00,loadUp
4/4/2022,6:00,9:00,shed
4/4/2022,17:00,18:00,loadUp
4/4/2022,18:00,21:00,shed
4/6/2022,5:00,6:00,loadUp
4/6/2022,6:00,9:00,shed
4/6/2022,17:00,18:00,loadUp
4/6/2022,18:00,21:00,shed
4/8/2022,5:00,6:00,loadUp
4/8/2022,6:00,9:00,shed
4/8/2022,17:00,18:00,loadUp
4/8/2022,18:00,21:00,shed
4/9/2022,5:00,6:00,loadUp
4/9/2022,6:00,9:00,shed
4/9/2022,17:00,18:00,loadUp
4/9/2022,18:00,21:00,shed
4/11/2022,5:00,6:00,loadUp
4/11/2022,6:00,9:00,shed
4/11/2022,17:00,18:00,loadUp
4/11/2022,18:00,21:00,shed
4/13/2022,5:00,6:00,loadUp
4/13/2022,6:00,9:00,shed
4/13/2022,17:00,18:00,loadUp
4/13/2022,18:00,21:00,shed
4/15/2022,5:00,6:00,loadUp
4/15/2022,6:00,9:00,shed
4/15/2022,17:00,18:00,loadUp
4/15/2022,18:00,21:00,shed
4/16/2022,5:00,6:00,loadUp
4/16/2022,6:00,9:00,shed
4/16/2022,17:00,18:00,loadUp
4/16/2022,18:00,21:00,shed
4/18/2022,5:00,6:00,loadUp
4/18/2022,6:00,9:00,shed
4/18/2022,17:00,18:00,loadUp
4/18/2022,18:00,21:00,shed
4/20/2022,5:00,6:00,loadUp
4/20/2022,6:00,9:00,shed
4/20/2022,17:00,18:00,loadUp
4/20/2022,18:00,21:00,shed
4/22/2022,5:00,6:00,loadUp
4/22/2022,6:00,9:00,shed
4/22/2022,17:00,18:00,loadUp
4/22/2022,18:00,21:00,shed
4/23/2022,5:00,6:00,loadUp
4/23/2022,6:00,9:00,shed
4/23/2022,17:00,18:00,loadUp
4/23/2022,18:00,21:00,shed
4/25/2022,5:00,6:00,loadUp
4/25/2022,6:00,9:00,shed
4/25/2022,17:00,18:00,loadUp
4/25/2022,18:00,21:00,shed
4/27/2022,5:00,6:00,loadUp
4/27/2022,6:00,9:00,shed
4/27/2022,17:00,18:00,loadUp
4/27/2022,18:00,21:00,shed
4/29/2022,5:00,6:00,loadUp
4/29/2022,6:00,9:00,shed
4/29/2022,17:00,18:00,loadUp
4/29/2022,18:00,21:00,shed
4/30/2022,5:00,6:00,loadUp
4/30/2022,6:00,9:00,shed
4/30/2022,17:00,18:00,loadUp
4/30/2022,18:00,21:00,shed
5/2/2022,5:00,6:00,loadup
5/2/2022,6:00,9:00,shed
5/2/2022,12:00,18:00,loadUp
5/2/2022,18:00,21:00,shed
5/4/2022,5:00,6:00,loadup
5/4/2022,6:00,9:00,shed
5/4/2022,12:00,18:00,loadUp
5/4/2022,18:00,21:00,shed
5/6/2022,5:00,6:00,loadup
5/6/2022,6:00,9:00,shed
5/6/2022,12:00,18:00,loadUp
5/6/2022,18:00,21:00,shed
5/7/2022,5:00,6:00,loadup
5/7/2022,6:00,9:00,shed
5/7/2022,12:00,18:00,loadUp
5/7/2022,18:00,21:00,shed
5/9/2022,5:00,6:00,loadup
5/9/2022,6:00,9:00,shed
5/9/2022,12:00,18:00,loadUp
5/9/2022,18:00,21:00,shed
5/11/2022,5:00,6:00,loadup
5/11/2022,6:00,9:00,shed
5/11/2022,12:00,18:00,loadUp
5/11/2022,18:00,21:00,shed
5/13/2022,5:00,6:00,loadup
5/13/2022,6:00,9:00,shed
5/13/2022,12:00,18:00,loadUp
5/13/2022,18:00,21:00,shed
5/14/2022,5:00,6:00,loadup
5/14/2022,6:00,9:00,shed
5/14/2022,12:00,18:00,loadUp
5/14/2022,18:00,21:00,shed
5/16/2022,5:00,6:00,loadup
5/16/2022,6:00,9:00,shed
5/16/2022,12:00,18:00,loadUp
5/16/2022,18:00,21:00,shed
5/18/2022,5:00,6:00,loadup
5/18/2022,6:00,9:00,shed
5/18/2022,12:00,18:00,loadUp
5/18/2022,18:00,21:00,shed
5/20/2022,5:00,6:00,loadup
5/20/2022,6:00,9:00,shed
5/20/2022,12:00,18:00,loadUp
5/20/2022,18:00,21:00,shed
5/21/2022,5:00,6:00,loadup
5/21/2022,6:00,9:00,shed
5/21/2022,12:00,18:00,loadUp
5/21/2022,18:00,21:00,shed
5/23/2022,5:00,6:00,loadup
5/23/2022,6:00,9:00,shed
5/23/2022,12:00,18:00,loadUp
5/23/2022,18:00,21:00,shed
5/25/2022,5:00,6:00,loadup
5/25/2022,6:00,9:00,shed
5/25/2022,12:00,18:00,loadUp
5/25/2022,18:00,21:00,shed
