time,BTUMeter_DeltaTemperature_F,BTUMeter_Energy,BTUMeter_Flow,BTUMeter_FlowTemperature_F,BTUMeter_RemoteTemperature_F,FM03_Flow,FM03_Temperature,FM04_Flow,FM04_Temperature,FM05_Flow,FM05_Temperature,HotStorageWaterInMechRoom,MXV1MixingValveHotInletTemp,MXV1MixingValveRecircReturnTemp,MXV1_ErrorCode,MXV1_MixedOutletSetpoint_F,MXV1_MixedOutletTemp_F,MXV1_ValvePosition,MXV2MixingValveHotInletTemp,MXV2MixingValveRecircReturnTemp,MXV2_ErrorCode,MXV2_MixedOutletSetpoint_F,MXV2_MixedOutletTemp_F,MXV2_ValvePosition,PowerMeter_QAHV_Energy,PowerMeter_QAHV_Power,PowerMeter_SkidAux_Energy,PowerMeter_SkidAux_Power,PowerMeter_SwingTank2_Energy,PowerMeter_SwingTank2_Power,ProconA1M_CapacityOfSupplyingElectricity,ProconA1M_CondensingTemperature,ProconA1M_EvaporatingTemperature,ProconA1M_ExternalWaterTemperature1_TH15_1,ProconA1M_ExternalWaterTemperature2_TH16_1,ProconA1M_ExternalWaterTemperature2_TH16_1_Calc,ProconA1M_ExternalWaterTemperature3_TH17_1,ProconA1M_ExternalWaterTemperature4_TH15_2,ProconA1M_ExternalWaterTemperature6_TH17_2,ProconA1M_FaultCode,ProconA1M_HeatPumpFrequency_Master,ProconA1M_HeatPumpOnOffStatus_Master,ProconA1M_RCProhibit_ModeStatus,ProconA1M_ThreeWayValve1Status,ProconA1M_WaterInletTemperature,ProconA1M_WaterOutletTemperature,ProconA1M_WaterPump1PWMDuty,ST1_TE_04,ST1_TE_05,ST1_TE_06,ST1_TE_07,ST1_TE_08,ST2_TE_11,ST2_TE_13,ST3_TE_23,ST3_TE_24,ST3_TE_25,ST3_TE_26,ST3_TE_27,SecLoopPump_HEXInletWaterTemp,SecLoopPump_HexOutletWaterTemp,SecLoopPump_SecLoopWaterFlow,SecLoopPump_SecWaterPumpPower,ProconA1M_RCProhibit_OnOffStatus,ProconA1M_RCProhibit_SetTempStatus,ProconA1M_SettingWaterTempStatus,ProconA1M_ThermoOffTemperatureStatus,ProconA1M_WaterPump1OnOffStatus,BTUMeter_VolumeTotal,PowerMeter_SwingTank5_Power,PowerMeter_SwingTank6_Energy,PowerMeter_SwingTank6_Power,ProconA1M_OutdoorAirTemperature
2023-01-10 16:01:00-08:00,92.1,12.8,2.5,45.2,137.3,1.8,44.5,,150.2,13.7,120.3,148.4,80.6,136.7,,,,5.0,132.1,119.9,,,121.0,25.0,88046.0,10.5,901.8,0.2,5690.9,0.0,,189.0,43.0,,76.8,,,,,,74.0,,,,66.0,149.0,18.0,49.5,117.5,128.9,130.7,134.6,104.6,133.7,49.9,97.7,121.4,133.7,141.7,48.1,139.3,,,,,,,,,,,,
2023-01-10 16:02:00-08:00,92.0,9.3,0.7,45.5,137.4,0.0,44.8,,150.8,13.8,120.3,142.8,80.6,137.5,,,,5.0,132.2,119.6,,,121.0,25.0,88046.3,11.1,901.8,0.2,5690.9,0.0,,193.0,46.0,,76.6,,,,,,,,,,69.0,153.0,18.0,49.4,117.6,128.9,130.7,134.6,104.3,133.6,50.2,97.9,121.5,133.8,141.8,48.0,140.2,,,,,,,,,,,,
2023-01-10 16:03:00-08:00,92.4,25.1,0.8,45.7,138.0,0.0,45.3,0.0,149.5,13.7,120.0,140.5,80.6,138.0,,,,5.0,132.4,119.9,,,120.0,,88046.5,12.9,901.8,0.2,5690.9,0.0,,199.0,45.0,,76.7,,,,,,76.0,,,,76.0,159.0,,49.4,117.4,128.9,130.7,134.6,104.4,133.7,50.4,98.5,122.0,134.2,141.9,48.0,142.1,,,,,,,,,,,,
2023-01-10 16:04:00-08:00,93.9,8.4,1.0,45.7,139.7,0.4,45.2,0.0,145.7,13.6,120.6,137.3,80.6,138.3,,,48.0,95.0,132.7,120.0,,,121.0,,88046.7,14.7,901.8,0.2,5690.9,0.0,,210.0,45.0,,76.7,,,,,,84.0,,,,81.0,171.0,19.0,49.3,117.4,128.9,130.7,134.6,104.3,133.7,50.6,99.2,122.3,134.3,142.1,48.0,147.6,,,,,,,,,,,,
2023-01-10 16:05:00-08:00,95.5,10.2,0.0,45.9,141.4,1.0,45.4,0.0,145.4,13.0,120.7,136.5,80.6,138.4,,,48.0,5.0,132.6,120.3,,,120.0,19.0,88047.0,14.6,901.8,0.2,5690.9,0.0,,219.0,45.0,,76.8,,,,,,86.0,,,,82.0,173.0,20.0,49.5,117.3,128.9,130.7,134.6,104.6,133.7,50.8,99.9,122.6,134.5,142.1,48.0,154.0,,,,,,,,,,,,
2023-01-10 16:06:00-08:00,95.8,15.6,0.0,46.0,141.8,1.7,45.8,,144.3,13.0,121.0,136.2,80.6,138.1,,,,5.0,132.5,120.6,,,121.0,19.0,88047.2,14.7,901.9,0.2,5690.9,0.0,,220.0,44.0,,77.0,,,,,,87.0,,,,83.0,172.0,21.0,49.6,117.4,128.9,130.7,134.6,105.0,133.7,51.1,100.7,123.0,134.6,142.3,,155.9,3.5,14.0,,,,,,,,,,
2023-01-10 16:07:00-08:00,102.4,11.6,0.3,46.0,148.4,0.0,45.7,,142.1,12.9,120.8,135.5,80.6,137.7,,,,5.0,132.5,120.5,,,120.0,,88047.4,15.3,901.9,0.2,5690.9,0.0,,221.0,43.0,,77.2,,,,,,88.0,,,,86.0,173.0,21.0,49.6,117.4,128.9,130.7,134.6,105.4,133.7,51.9,101.2,123.2,134.9,142.3,48.0,156.8,4.4,26.0,,,,,,,,,,
2023-01-10 16:08:00-08:00,111.6,23.3,0.0,45.8,157.4,1.2,45.3,,140.2,13.1,120.9,135.6,80.6,137.1,,,49.0,5.0,132.3,120.6,,,121.0,16.0,88047.7,14.8,901.9,0.2,5690.9,0.0,,222.0,43.0,138.0,77.5,,,,,,89.0,,,,84.0,173.0,22.0,49.7,117.6,128.9,130.7,,105.9,133.8,52.7,101.8,123.6,135.1,142.3,47.9,155.0,4.8,42.0,,,,,,,,,,
2023-01-10 16:09:00-08:00,114.3,27.3,2.0,45.8,160.1,2.6,45.0,,139.2,13.1,120.8,135.8,80.7,136.2,,,49.0,95.0,132.1,120.5,,,117.0,25.0,88047.9,13.7,901.9,0.2,5690.9,0.0,,216.0,43.0,139.0,78.3,,50.0,,,,87.0,,,,79.0,169.0,23.0,49.6,117.6,128.9,130.7,134.6,106.5,133.9,53.4,102.3,123.9,135.2,142.4,47.9,152.2,4.8,50.0,,,,,,,,,,
2023-01-10 16:10:00-08:00,111.2,46.3,2.3,46.1,157.3,1.8,44.8,,137.4,12.7,120.6,142.4,80.6,135.4,,,48.0,5.0,132.2,120.2,,,120.0,19.0,88048.1,12.2,901.9,0.2,5690.9,0.0,,210.0,42.0,139.0,79.0,,51.0,,,,84.0,0.0,1.0,,74.0,164.0,23.0,49.7,118.0,128.9,130.7,134.6,107.0,134.0,54.0,102.6,124.0,135.4,142.4,47.9,146.7,4.8,45.0,,,,,,,,,,
2023-01-10 16:11:00-08:00,103.9,35.6,1.3,46.3,150.2,3.4,44.8,,136.5,12.9,120.7,154.7,80.6,134.3,,,48.0,95.0,132.4,120.1,,,121.0,22.0,88048.4,10.5,901.9,0.2,5690.9,0.0,,197.0,43.0,,79.0,,51.0,,,,76.0,1.0,0.0,,68.0,152.0,22.0,50.0,118.6,128.9,130.8,134.7,107.1,134.0,53.8,102.6,124.0,135.4,,47.9,142.1,4.4,28.0,,,,,,,,,,
2023-01-10 16:12:00-08:00,99.9,50.3,3.4,45.9,145.8,4.5,44.7,,136.4,12.7,120.1,153.0,80.7,133.4,,,49.0,5.0,132.4,120.1,,,116.0,25.0,88048.5,10.2,901.9,0.2,5690.9,0.0,,189.0,44.0,139.0,78.9,94.0,50.0,,,,74.0,1.0,0.0,,65.0,146.0,20.0,50.6,119.6,129.0,130.9,134.8,106.9,134.0,52.9,102.0,123.7,135.2,,47.9,140.2,3.5,10.0,,,,,,,,,,
2023-01-10 16:13:00-08:00,99.2,40.5,2.9,45.6,144.8,2.8,44.6,,142.0,12.8,120.3,146.3,80.7,132.5,,,48.0,5.0,132.5,119.8,,,121.0,22.0,88048.7,10.3,901.9,0.2,5690.9,0.0,,188.0,45.0,138.0,78.1,93.0,50.0,,,,74.0,,,,65.0,146.0,20.0,51.6,120.3,129.1,130.9,134.9,106.1,133.9,52.0,101.0,123.3,135.0,142.2,48.0,139.3,3.1,8.0,,,,,,,,,,
