time,id,data,type,units
2022-10-13 17:01:00,Temp_PrimaryPlantDelta_BTU,79.1,Temperature,F
2022-10-13 17:01:00,EnergyOut_PrimaryPlant_BTU,53.7,Energy,kWh
2022-10-13 17:01:00,Flow_CityWater_atSkid,5.2,Flow,gal/min
2022-10-13 17:01:00,Temp_CityWater_atSkid,65.4,Temperature,F
2022-10-13 17:01:00,Temp_PrimaryStorageOutTop,144.4,Temperature,F
2022-10-13 17:01:00,Flow_CityWater,5.3,Flow,gal/min
2022-10-13 17:01:00,Temp_CityWater,64.6,Temperature,F
2022-10-13 17:01:00,Flow_RecircReturn_MXV1,12.8,Flow,gal/min
2022-10-13 17:01:00,Temp_RecircReturn_MXV1_FM,130.8,Temperature,F
2022-10-13 17:01:00,Flow_RecircReturn_MXV2,12.7,Flow,gal/min
2022-10-13 17:01:00,Temp_RecircReturn_MXV2_FM,120.1,Temperature,F
2022-10-13 17:01:00,Temp_HotStorageInMechRoom,140.8,Temperature,F
2022-10-13 17:01:00,Temp_HotInlet_MXV1,91.1,Temperature,F
2022-10-13 17:01:00,Temp_RecircReturn_MXV1,129.9,Temperature,F
2022-10-13 17:01:00,Temp_RecircSupply_MXV1,130.0,Temperature,F
2022-10-13 17:01:00,Temp_HotInlet_MXV2,132.9,Temperature,F
2022-10-13 17:01:00,Temp_RecircReturn_MXV2,119.9,Temperature,F
2022-10-13 17:01:00,Temp_RecircSupply_MXV2,120.0,Temperature,F
2022-10-13 17:01:00,EnergyIn_HPWH,64231.6,Energy,kWh
2022-10-13 17:01:00,PowerIn_HPWH,12.0,Power,W
2022-10-13 17:01:00,PowerMeter_SkidAux_Energy,536.8,Energy,kWh
2022-10-13 17:01:00,PowerMeter_SkidAux_Power,0.1,Power,W
2022-10-13 17:01:00,EnergyIn_ERTank2,4872.4,Energy,kWh
2022-10-13 17:01:00,PowerIn_ERTank2,0.0,Power,W
2022-10-13 17:01:00,Temp_HPWHCondensing,202.0,Temperature,F
2022-10-13 17:01:00,Temp1_ST2_high_TH15,146.0,Temperature,F
2022-10-13 17:01:00,Temp5_ST2_low_TH16,85.7,Temperature,F
2022-10-13 17:01:00,Temp_PrimaryStorageOutBottom_TH17,69.0,Temperature,F
2022-10-13 17:01:00,Temp_HPWHInlet,79.0,Temperature,F
2022-10-13 17:01:00,Temp_HPWHOutlet,154.0,Temperature,F
2022-10-13 17:01:00,Duty_QAHVPump,30.0,,%
2022-10-13 17:01:00,Temp5_ST1_low,68.5,Temperature,F
2022-10-13 17:01:00,Temp4_ST1,107.6,Temperature,F
2022-10-13 17:01:00,Temp3_ST1,128.5,Temperature,F
2022-10-13 17:01:00,Temp2_ST1,140.4,Temperature,F
2022-10-13 17:01:00,Temp1_ST1_high,143.7,Temperature,F
2022-10-13 17:01:00,Temp4_ST2,102.4,Temperature,F
2022-10-13 17:01:00,Temp2_ST2,144.2,Temperature,F
2022-10-13 17:01:00,Temp5_ST3_low,68.0,Temperature,F
2022-10-13 17:01:00,Temp4_ST3,96.0,Temperature,F
2022-10-13 17:01:00,Temp3_ST3,122.9,Temperature,F
2022-10-13 17:01:00,Temp2_ST3,144.3,Temperature,F
2022-10-13 17:01:00,Temp1_ST3_high,148.5,Temperature,F
2022-10-13 17:01:00,Temp_SecLoopHexInlet,66.5,Temperature,F
2022-10-13 17:01:00,Temp_SecLoopHexOutlet,144.8,Temperature,F
2022-10-13 17:01:00,Flow_SecLoop,2.6,Flow,gal/min
2022-10-13 17:01:00,PowerIn_SecLoopPump,7.0,Power,W
2022-10-13 17:02:00,Temp_PrimaryPlantDelta_BTU,82.3,Temperature,F
2022-10-13 17:02:00,EnergyOut_PrimaryPlant_BTU,40.6,Energy,kWh
2022-10-13 17:02:00,Flow_CityWater_atSkid,5.2,Flow,gal/min
2022-10-13 17:02:00,Temp_CityWater_atSkid,65.4,Temperature,F
2022-10-13 17:02:00,Temp_PrimaryStorageOutTop,147.7,Temperature,F
2022-10-13 17:02:00,Flow_CityWater,4.3,Flow,gal/min
2022-10-13 17:02:00,Temp_CityWater,64.6,Temperature,F
2022-10-13 17:02:00,Flow_RecircReturn_MXV1,13.1,Flow,gal/min
2022-10-13 17:02:00,Temp_RecircReturn_MXV1_FM,131.1,Temperature,F
2022-10-13 17:02:00,Flow_RecircReturn_MXV2,12.8,Flow,gal/min
2022-10-13 17:02:00,Temp_RecircReturn_MXV2_FM,120.1,Temperature,F
2022-10-13 17:02:00,Temp_HotStorageInMechRoom,142.7,Temperature,F
2022-10-13 17:02:00,Temp_HotInlet_MXV1,91.1,Temperature,F
2022-10-13 17:02:00,Temp_RecircReturn_MXV1,130.0,Temperature,F
2022-10-13 17:02:00,Temp_HotInlet_MXV2,132.9,Temperature,F
2022-10-13 17:02:00,Temp_RecircReturn_MXV2,119.8,Temperature,F
2022-10-13 17:02:00,EnergyIn_HPWH,64231.8,Energy,kWh
2022-10-13 17:02:00,PowerIn_HPWH,13.5,Power,W
2022-10-13 17:02:00,PowerMeter_SkidAux_Energy,536.8,Energy,kWh
2022-10-13 17:02:00,PowerMeter_SkidAux_Power,0.1,Power,W
2022-10-13 17:02:00,EnergyIn_ERTank2,4872.4,Energy,kWh
2022-10-13 17:02:00,PowerIn_ERTank2,0.0,Power,W
2022-10-13 17:02:00,Temp_HPWHCondensing,204.0,Temperature,F
2022-10-13 17:02:00,Temp1_ST2_high_TH15,146.0,Temperature,F
2022-10-13 17:02:00,Temp5_ST2_low_TH16,85.4,Temperature,F
2022-10-13 17:02:00,Frequency_QAHV,84.0,Frequency,Hz
2022-10-13 17:02:00,Temp_HPWHInlet,84.0,Temperature,F
2022-10-13 17:02:00,Temp_HPWHOutlet,157.0,Temperature,F
2022-10-13 17:02:00,Duty_QAHVPump,29.0,,%
2022-10-13 17:02:00,Temp5_ST1_low,68.4,Temperature,F
2022-10-13 17:02:00,Temp4_ST1,107.7,Temperature,F
2022-10-13 17:02:00,Temp3_ST1,128.6,Temperature,F
2022-10-13 17:02:00,Temp2_ST1,140.4,Temperature,F
2022-10-13 17:02:00,Temp1_ST1_high,143.7,Temperature,F
2022-10-13 17:02:00,Temp4_ST2,101.8,Temperature,F
2022-10-13 17:02:00,Temp2_ST2,144.0,Temperature,F
